id_nombre,nombre,direccion,id_ciudad,ciudad,codigo_postal,latitud,longitud,puntuacion_yelp,categories,puntuacion_usuarios,anio,analisis_sentimientos
0018,Mr. Dunderbak's,14929 Bruce B Downs Blvd,RGTW,Tampa,33664,28.083089,-82.411907,4.5,"Beer, Wine & Spirits, Food, Pubs, German, American (Traditional), Restaurants, Bars, Nightlife",5.0,2006,1.0
0040,Beef 'O' Brady's,10920 Cross Creek Blvd,RGTW,Tampa,33664,28.1454126,-82.2840341,2.0,"Sports Bars, Fast Food, Bars, American (Traditional), Pubs, Restaurants, Nightlife",2.0,2006,0.5
02a2,Cicis,1991 W Lumsden Rd,W2W7,Brandon,33511,27.9215043209,-82.3164796829,2.5,"Restaurants, Pizza, American (Traditional)",2.0,2006,1.0
039b,Oasis Bakery & Middle Eastern Foods,"1450 Skipper Rd, Ste 12-16",RGTW,Tampa,33664,28.0807894089,-82.4434833214,4.5,"International Grocery, Middle Eastern, Food, Specialty Food, Bakeries, Restaurants, Grocery",4.0,2006,1.0
04cb,Trang Viet Cuisine,230 E Bearss Ave,RGTW,Tampa,33664,28.0894957,-82.4584569,4.0,"Restaurants, Vietnamese, Vegan",2.5,2006,1.0
05c4,Ballyhoo Grill,7604 Ehrlich Rd,RGTW,Tampa,33664,28.07824,-82.569894,3.5,"Restaurants, Seafood, Steakhouses",2.0,2006,1.0
072b,Mario's Pizza,2679 Gulf to Bay Blvd,MCCU,Clearwater,33769,27.958953,-82.7265267,3.0,"Restaurants, Pizza",4.0,2006,1.0
0773,Oystercatchers,2900 Bayport Dr,RGTW,Tampa,33664,27.962275,-82.549347,4.0,"Cocktail Bars, Restaurants, American (Traditional), Bars, Seafood, Nightlife",4.7,2006,1.0
077d,Estela's Mexican Restaurant,209 E Davis Blvd,RGTW,Tampa,33664,27.9272352,-82.4533228,2.5,"Mexican, Restaurants",5.0,2006,1.0
08c3,Carrabba's Italian Grill,801 Providence Rd,W2W7,Brandon,33511,27.9419439,-82.44231926666667,3.5,"Restaurants, Seafood, Italian",3.3,2006,1.0
09db,Lenny's Restaurant,21220 US Hwy 19 N,MCCU,Clearwater,33769,27.9653459,-82.7305416,4.5,"Delis, American (Traditional), Breakfast & Brunch, Restaurants",4.0,2006,1.0
0b4c,Sonny's BBQ,5324 Bruce B. Downs Blvd.,CQ72,Wesley Chapel,33545,28.234935,-82.349194,3.0,"Barbeque, Event Planning & Services, Restaurants, Caterers, American (New)",4.0,2006,1.0
0b74,Circles,2500 W Azeele St,RGTW,Tampa,33664,27.9409036,-82.4852647,4.0,"American (New), Restaurants",5.0,2006,1.0
0dc7,Spaghetti Warehouse,1911 13th St,RGTW,Tampa,33664,27.9614814,-82.4452505,3.0,"Italian, Restaurants",5.0,2006,1.0
0e5e,Arigato Japanese Steak House,14330 N Dale Mabry Hwy,RGTW,Tampa,33664,28.04550295,-82.62173609999999,3.0,"Japanese, Restaurants, Steakhouses",4.0,2006,1.0
0ef7,GameTime,1600 E 8th Ave,RGTW,Tampa,33664,27.9611161408,-82.4409069127,3.0,"Event Planning & Services, Sports Bars, Arts & Entertainment, Venues & Event Spaces, Books, Mags, Music & Video, Amusement Parks, American (Traditional), Shopping, Restaurants, Videos & Video Game Rental, Active Life, Bars, Arcades, Nightlife",4.2,2006,1.0
112f,Pizza Haven,122 E Brandon Blvd,W2W7,Brandon,33511,27.9386606155,-82.2847137998,4.5,"Restaurants, Pizza",5.0,2006,1.0
11b9,Shephard's Beach Resort,619 S Gulfview Blvd,EXHF,Clearwater Beach,33767,27.96718,-82.82716,3.0,"Hotels & Travel, Bars, American (Traditional), Restaurants, Event Planning & Services, Nightlife, Hotels, Resorts",4.5,2006,1.0
11dd,Donnelly's Deli,2112 Mariner Blvd,I0WF,Spring Hill,34610,28.4631412,-82.5402909,4.5,"Restaurants, Delis",5.0,2006,1.0
11e9,Tijuana Flats - Fowler,2782 E Fowler Ave,RGTW,Tampa,33664,28.055805,-82.427633,4.0,"Mexican, Restaurants, Tex-Mex",5.0,2006,1.0
13d9,ABC Pizza House,1242 W Hillsborough Ave,RGTW,Tampa,33664,27.99554,-82.4743805,4.0,"Restaurants, Pizza",4.0,2006,1.0
