id_nombre,nombre,direccion,id_ciudad,ciudad,codigo_postal,latitud,longitud,puntuacion_yelp,categories,puntuacion_usuarios,anio,analisis_sentimientos
0012,Crown Colony House,3000 E Busch Blvd,RGTW,Tampa,33664,28.0343309046,-82.4192527586,3.5,"Restaurants, American (New), Beer, Wine & Spirits, Food",3.0,2014,1.0
0018,Mr. Dunderbak's,14929 Bruce B Downs Blvd,RGTW,Tampa,33664,28.083089,-82.411907,4.5,"Beer, Wine & Spirits, Food, Pubs, German, American (Traditional), Restaurants, Bars, Nightlife",4.3,2014,1.0
0036,Churroland Tampa,8021 Citrus Park Town Ctr Mall,RGTW,Tampa,33664,28.068303976,-82.5788765311,4.0,"Restaurants, Food, Spanish, Desserts, Local Flavor, Food Trucks",4.0,2014,1.0
003c,Glory Days Grill,17508 Dona Michelle Dr,RGTW,Tampa,33664,28.126583,-82.3706739,3.5,"Bars, Nightlife, American (New), Restaurants, Sports Bars",3.4,2014,1.0
003d,Green Room,"Seminole Hard Rock Hotel & Casino Tampa, 5223 N Orient Rd",RGTW,Tampa,33664,27.99677998814,-82.37356485358,3.2,"American (Traditional), Restaurants",3.6,2014,1.0
004f,GiGi's Pizza & Pasta,8530 Ridge Rd,3IHW,New Port Richey,34655,28.2798977812,-82.6734955267,4.0,"Italian, Restaurants, Pizza",4.5,2014,1.0
0057,Yamato Japanese Steakhouse & Sushi Bar,"28347 Paseo Dr, Ste 150",CQ72,Wesley Chapel,33545,28.1885468235,-82.3468945497,3.0,"Steakhouses, Japanese, Sushi Bars, Restaurants",3.2,2014,1.0
005f,Casa Ludovico,1710 Alt 19,IKXB,Palm Harbor,34685,28.0837051826,-82.7670471431,4.0,"Restaurants, Nightlife, Bars, Italian, Wine Bars",3.8,2014,1.0
006c,Adriano's Rosie's Cafe,2745 E Bay Dr,LIFE,Largo,33778,27.9161751,-82.7585918,4.0,"American (Traditional), Restaurants, Italian, Breakfast & Brunch, Greek",4.3,2014,1.0
0078,Busy Bee Snak Shop,7345 49th St,SJ01,Pinellas Park,33782,27.8386081,-82.6996523,4.0,"Restaurants, American (Traditional), Armenian, Desserts, Food, Breakfast & Brunch",4.0,2014,1.0
0082,PaniniRiffic,6905 N Orleans Ave,RGTW,Tampa,33664,28.0110352,-82.47309,3.0,"Burgers, Restaurants, Food, Cuban, Comfort Food, American (Traditional), Food Trucks",5.0,2014,1.0
00a2,The Blind Tiger Cafe - Ybor City,1901 E 7th Ave,RGTW,Tampa,33664,27.9601407,-82.4378181,4.5,"Shopping, Vegan, Vegetarian, Beer, Wine & Spirits, Sandwiches, Food, Bagels, Bakeries, Coffee & Tea, Men's Clothing, American (Traditional), Restaurants, Women's Clothing, Breakfast & Brunch, Acai Bowls, Fashion, Cafes",5.0,2014,1.0
00b9,Mamas Kitchen,5524 S Dale Mabry Hwy,RGTW,Tampa,33664,27.91868093,-82.56117114999999,4.4,"Sandwiches, Restaurants, American (New), American (Traditional), Breakfast & Brunch",4.0,2014,1.0
0124,Chopstick Express,3946 4th St N,9EV3,San Petersburgo,33730,27.8082326777,-82.638924,4.0,"Restaurants, Japanese, Chinese, Soup",4.0,2014,1.0
012a,The Brown Boxer Pub & Grille,26133 US Hwy 19 N,MCCU,Clearwater,33769,28.0100495,-82.7298736,3.0,"Nightlife, Bars, Food, Sports Bars, Restaurants, Beer, Wine & Spirits, American (Traditional)",2.7,2014,1.0
0147,China Gate,12919 Walsingham Rd,LIFE,Largo,33778,27.8814892334,-82.8175278552,3.5,"Chinese, Restaurants",3.2,2014,1.0
015b,The Ravioli Company,5130 S Dale Mabry Hwy,RGTW,Tampa,33664,27.89062,-82.505933,4.5,"Restaurants, Event Planning & Services, Caterers, Specialty Food, Pasta Shops, Food, Italian",4.8,2014,1.0
0163,Hookah Hut,3215 Henderson Blvd,RGTW,Tampa,33664,27.9442949,-82.4960851,4.0,"Bars, Local Flavor, Hookah Bars, Yelp Events, Restaurants, Middle Eastern, Nightlife",4.0,2014,1.0
01d6,Mandy's Restaurant,"4025 W Waters Ave, Ste 101",RGTW,Tampa,33664,28.0258138,-82.5113635522,4.5,"Sandwiches, Restaurants, Cuban, Mexican",4.5,2014,1.0
022d,Bazille,2223 N Westshore Blvd,RGTW,Tampa,33664,27.9638334,-82.5224436,4.5,"Cafes, Bars, American (New), Restaurants, Cocktail Bars, Nightlife, Lounges, Comfort Food",4.5,2014,1.0
0231,Salsa's Mexican Restaurant,35114 US Hwy 19 N,IKXB,Palm Harbor,34685,28.0917897,-82.7396633,3.5,"Restaurants, Mexican",3.2,2014,1.0
0239,Sioux City Steakhouse,8515 Little Rd,3IHW,New Port Richey,34655,28.281002,-82.677738,3.0,"American (Traditional), Nightlife, Steakhouses, Caterers, Event Planning & Services, Bars, Restaurants",3.5,2014,1.0
023f,Mana Mana Middle Eastern Restaurant,530 Park St,MCCU,Clearwater,33769,27.9649007701,-82.79884446409999,4.5,"Kosher, Restaurants, Middle Eastern, Mediterranean",4.1,2014,1.0
025a,La Guagua Salsabor,18905 N Dale Mabry,1GQ7,Lutz,33559,28.150541,-82.492218,4.0,"Food, Restaurants, Caribbean, Food Trucks, Latin American, Food Stands, Puerto Rican",2.3,2014,1.0
0261,Tsunami Japanese Steakhouse,2176 Tyrone Blvd N,9EV3,San Petersburgo,33730,27.7899621,-82.7262212,3.0,"Steakhouses, Restaurants, Sushi Bars, Japanese",3.4,2014,1.0
0294,Buddy Freddys Restaurant,1101 Goldfinch Dr,7QXG,Plant City,33567,28.025117000000005,-82.1480323,3.5,"Southern, Buffets, Restaurants",5.0,2014,1.0
02a2,Cicis,4743 66th St N,9EV3,San Petersburgo,33730,27.86527874501111,-82.5986852533,2.6,"American (Traditional), Pizza, Restaurants",3.0,2014,1.0
02a4,Lanna Thai and Sushi Restaurant,4871 Park St N,9EV3,San Petersburgo,33730,27.8160903,-82.7534293,4.0,"Thai, Restaurants",4.2,2014,1.0
02c2,Pho 97,6800 49th St N,SJ01,Pinellas Park,33782,27.8337538,-82.7000149,4.0,"Vietnamese, Restaurants",3.0,2014,1.0
02d2,Bistro Atlantis,1140 Main St,L2T6,Dunedin,34698,28.0194279,-82.7742615,4.5,"Greek, Restaurants, Mediterranean",2.8,2014,1.0
0336,Dominic's Italian Grille,34726 US Hwy 19 N,IKXB,Palm Harbor,34685,28.089266,-82.740484,3.5,"Restaurants, Pizza, Sandwiches, Italian",3.7,2014,1.0
034a,New York New York Pizza,1512 E 7th Ave,RGTW,Tampa,33664,27.97585596,-82.495140968,3.7,"Sandwiches, Burgers, Pizza, Restaurants",3.6,2014,1.0
035f,Ban Thai Restaurant,5374 W Village Dr,RGTW,Tampa,33664,28.0835969,-82.5396401,3.0,"Thai, Restaurants",3.0,2014,1.0
037e,Fishhawk Pizza,15260 Fishhawk Blvd,BONO,Lithia,33547,27.863539801818185,-82.2785869908182,3.5,"Pizza, Restaurants, Food, American (New)",4.0,2014,1.0
0384,3 Oaks Cafe,1575 Fort Harrison Ave,MCCU,Clearwater,33769,27.939801,-82.798087,4.0,"American (New), Cafes, Restaurants, Breakfast & Brunch",4.2,2014,1.0
0386,Pan Filo's,656 S Gulfview Blvd,MCCU,Clearwater,33769,27.9673166,-82.8253093,4.0,"Mexican, Bars, Nightlife, Cocktail Bars, Restaurants",4.0,2014,1.0
038a,Munchies,11208 E Dr Martin Luther King Jr,JIN0,Seffner,33584,27.9820616,-82.3098975,3.0,"Pizza, Restaurants, Chicken Wings",2.2,2014,1.0
