name	addr:street	addr:city	addr:state	amenity	@lat	@lon
					27.5346761	-82.5074160
Tamiami Trail Shops					25.7598945	-80.4192010
Seminole Mall					27.8407892	-82.7884091
Countryside Mall	US 19 North	Clearwater	FL		28.0173264	-82.7336643
					30.1961591	-81.8262635
					30.1984111	-81.8232160
					30.1980022	-81.8234397
					30.1977058	-81.8234263
					30.1969564	-81.8265449
					30.1979275	-81.8271906
					30.1979051	-81.8284028
Superior Plaza					28.5540991	-81.3103283
	Argyle Forest Boulevard	Jacksonville	FL		30.1949664	-81.8303529
Orange Park Mall	Wells Road	Orange Park	FL		30.1846531	-81.7351424
					29.8410329	-84.6808110
Bal Harbour Shops	Collins Avenue	Bal Harbour	FL		25.8883704	-80.1247185
Seminole Towne Center					28.8039833	-81.3385773
Coral Square Mall	West Atlantic Boulevard	Coral Springs			26.2413341	-80.2491998
Heritage Walk					29.8933039	-81.3133371
Saint George's Row					29.8944893	-81.3132846
Wellington Mall	Forest Hill Boulevard	Wellington	FL		26.6727025	-80.2461190
Shoppes at Andros Isle	Okeechobee Boulevard	West Palm Beach	FL		26.7101505	-80.1839212
Eagle Ridge Mall	Eagle Ridge Drive	Lake Wales	FL		27.9537825	-81.6154169
Worth Avenue					26.7009914	-80.0375520
The Loop	"N John Young Pkwy, Kissimmee, FL, United States"	Kissimmee			28.3448364	-81.4222402
Santa Rosa Mall	Mary Esther Boulevard	Mary Esther	FL		30.4168213	-86.6568655
The Galleria at Fort Lauderdale	East Sunrise Boulevard	Fort Lauderdale	FL		26.1368878	-80.1135840
Coral Ridge Mall	Northeast 34th Street	Fort Lauderdale	FL		26.1689126	-80.1158174
					28.0140535	-81.7290373
Mall of the Americas	West Flagler Street	Miami	FL		25.7733979	-80.3224321
Flamingo Market Place	Pembroke Road	Pembroke Pines	FL		25.9946000	-80.3096600
					28.3665290	-81.4259591
					28.3662973	-81.4222510
					25.6726952	-80.4420579
					25.6827987	-80.4642950
Higate Square					25.6839505	-80.4196036
Great Clips TJ Maxx Plaza					25.6988234	-80.3833590
The Meadows Shopping Center					25.7270491	-80.4408215
					25.6552135	-80.4130323
					25.6646577	-80.4067706
Intracoastal Mall	Northeast 163rd Street	North Miami Beach	FL		25.9313014	-80.1337075
Skylake Mall					25.9445507	-80.1668811
Champion Plaza					25.9531214	-80.1449820
					25.9274621	-80.1395951
Keystone Plaza	Biscayne Boulevard	North Miami			25.9013129	-80.1595082
Regency Square Shopping Center					27.9415378	-82.3224344
Shops at Merrick Park	San Lorenzo Avenue	Coral Gables			25.7315619	-80.2601452
Davie Shopping Center					26.0631277	-80.2533196
	Southwest 22nd Street	Miami	FL		25.7504211	-80.2496879
					26.7162043	-80.1115552
					26.7077100	-80.0911919
	Manatee Avenue West	Bradenton	FL		27.4944531	-82.6008810
					27.4611779	-82.6070626
					27.2245996	-82.4905869
Sarasota Square Mall	Tamiami Trail	Sarasota	FL		27.2342674	-82.4932802
					27.2676426	-82.4607199
					27.2828839	-82.5323438
Westfield Siesta Key					27.3013592	-82.5282921
					27.9951053	-82.4336420
					27.9946586	-82.4875244
Shoppes of Lakeland					28.0935110	-81.9714256
Plantation Square					28.1118077	-81.9450634
American Plaza					28.3032630	-81.4190446
					28.3060835	-81.4393903
Westgate Plaza					28.2466677	-81.3081572
					28.5382579	-81.7347747
					26.7195279	-80.1099577
Southchase Village	South Orange Blossom Trail	Orlando	FL		28.3854880	-81.4022138
Bluffs Square Shoppes					26.8944475	-80.0617523
					26.2045853	-80.1095471
Pompano Citi Centre	North Federal Highway	Pompano Beach			26.2567403	-80.1032065
Shoppers Haven					26.2738927	-80.0994749
Oceanwalk Mall					26.0124090	-80.1162611
					26.1055405	-80.1785854
Saint Augustine Premium Outlets	FL-16	Saint Augustine	FL		29.9248043	-81.4176207
Colonial Promenade					28.0062467	-81.7227637
Town Center at Boca Raton					26.3649539	-80.1333273
Mall at University Town Center	University Town Center Drive	Sarasota	FL		27.3844300	-82.4532080
Centro Ybor					27.9613541	-82.4414239
					28.3671682	-81.4208112
					26.0062017	-80.3363431
					26.0061193	-80.3358831
					26.0054663	-80.3364614
					26.0055924	-80.3370786
Pembroke Gardens					26.0046226	-80.3374317
					26.0046159	-80.3362833
					26.0033106	-80.3362609
					26.0032730	-80.3373844
					26.0023525	-80.3371575
					26.0024119	-80.3364081
					28.8668334	-81.9552308
					30.1844651	-81.5541826
Volusia Mall	International Speedway Boulevard	Daytona Beach	FL		29.1969007	-81.0635903
Oviedo Mall					28.6628124	-81.2344891
					28.2546194	-80.6076931
					28.0906055	-81.9689113
					27.9876885	-82.1238437
					27.9939203	-82.1196537
Paddock Mall	SW College Road	Ocala	FL		29.1586150	-82.1732109
Sunset Harbour Shops					25.7945914	-80.1440990
					27.9949017	-82.1204973
The Greenery Mall					25.6874834	-80.3203038
Gulf View Square Mall					28.2940640	-82.7123427
Cordova Mall	North 9th Avenue	Pensacola	FL		30.4757135	-87.2075338
Bartow Shopping Center					27.9057330	-81.8418036
					27.9371347	-82.2589042
Brandon Center					27.9369761	-82.2873301
Clayton Mall					27.9364074	-82.2921674
					27.9973784	-82.1227341
Tampa Premium Outlets	Grand Cypress Drive	Lutz	FL		28.1901395	-82.3897757
					26.7051930	-80.1074066
Westland Mall	West 49th Street	Hialeah			25.8685021	-80.3183551
Ultramont Mall	Southeast 1st Street	Miami	FL		25.7729764	-80.1914118
The Shops at Mary Brickell Village	South Miami Avenue	Miami	FL		25.7649700	-80.1937866
					25.8718459	-80.2841543
Uleta Plaza					25.9287831	-80.1938023
Lincoln Road Mall	Lincoln Road	Miami Beach			25.7905277	-80.1365207
					28.6011520	-81.3632504
	North Orlando Avenue	Orlando	FL		28.6008521	-81.3645246
Gold Coast Plaza	Sunset Strip				26.1554007	-80.2405195
Indian River Mall	20th Street	Vero Beach	FL		27.6424734	-80.4589623
					25.6435078	-80.3379930
					25.6441070	-80.3377334
					25.6455754	-80.3394127
Sunshine Park Mall	S Ridgewood Ave	South Daytons	FL		29.1648822	-81.0012535
Centre of Tallahassee	North Monroe Street	Tallahassee	FL		30.4754343	-84.2901028
Altamonte Mall					28.6665870	-81.3773841
Palm Plaza					30.5162780	-86.4721671
Tanger Outlets Daytona					29.2135939	-81.0985272
	Southwest 120th Street	Miami	FL		25.6556627	-80.4144528
	Southwest 120th Street	Miami	FL		25.6553293	-80.4145403
TJ Max					25.6529279	-80.4143633
					26.7203582	-80.1130497
					26.7191548	-80.1117737
					26.7075650	-80.0811082
					26.7052802	-80.0809602
The Big Apple Shopping Bazaar					26.4590190	-80.1271881
					27.8817536	-82.8311801
Murdock Plaza	Tamiami Trail				27.0094211	-82.1362888
					27.0095101	-82.1347382
					28.0093775	-81.7317923
Lakeview Center					26.2480966	-80.2808725
					26.0094459	-80.3943203
					26.0089777	-80.3905195
Tri-City Plaza					26.1365138	-80.2304985
Governor's Square Mall	Apalachee Parkway	Tallahassee	FL		30.4364467	-84.2536888
					27.9131632	-82.5056579
Britton Plaza					27.9066602	-82.5039974
Fowler Plaza South					28.0535552	-82.4328425
					27.9366462	-82.3155334
					26.1867624	-81.8004728
Greentree Shopping Center	Immokalee Road	Naples	FL		26.2710858	-81.7721878
International Plaza and Bay Street	North Westshore Bolevard	Tampa	FL		27.9645475	-82.5207263
					27.9656206	-82.5210778
					26.4299555	-81.8082564
					26.3490813	-81.8048111
					26.2563220	-81.8020111
					26.2566429	-81.8017200
Lake City Mall	West US Highway 90	Lake City	FL		30.1808626	-82.6726517
	Tamiami Trail				26.8903962	-82.0261822
					30.2014991	-81.7414841
					30.1990307	-81.7416651
					27.4316979	-82.5873529
					28.4715845	-81.3693509
					30.3923378	-86.4236080
					28.5676905	-81.2938236
					28.5687682	-81.2896774
					28.4665847	-81.3860280
The Boardwalk					30.3941420	-86.5910642
					30.2363235	-81.6945628
Plaza del Sol	West Vine Street	Kissimmee	FL		28.3070072	-81.4428625
Sevilla Plaza					28.3138326	-81.4684437
					30.1776816	-81.7414995
					26.0103771	-80.3581023
					28.4475606	-81.3880369
					28.4473632	-81.3882806
					28.4471890	-81.3885012
Casa					28.4470552	-81.3891671
					28.4482217	-81.3879749
Terrance Florida Mall					28.4500741	-81.3878249
American Signature					28.4496036	-81.3877557
					26.9289652	-82.0648314
					26.9284338	-82.0644416
					26.9278225	-82.0636680
AAFES Exchange and Commissary	Mall Lane	Tyndall AFB	FL		30.0676531	-85.5965597
University Village Shops	Village Center Drive	Fort Myers			26.4525300	-81.7737683
Aventura Mall	Biscayne Boulevard	Aventura	FL		25.9570544	-80.1427449
					28.6747461	-81.4701452
Westshore Plaza Mall	Westshore plaza	Tampa	FL		27.9472247	-82.5274155
					28.6022661	-81.3633564
					28.6020929	-81.3644963
					28.6030521	-81.3629300
					28.6032004	-81.3644829
					28.5982703	-81.3659040
					28.5979024	-81.3661695
					28.5974767	-81.3661742
					25.6449819	-80.3395558
					25.6459095	-80.3404676
Town Square Center					27.9438744	-82.5234551
					29.6544662	-81.6729768
					26.6809245	-81.8064553
					26.6819894	-81.8045484
Village Square Shopping Center					28.0166707	-81.7619577
Homestead Station	S Krome Ave	Homestead	FL		25.4694789	-80.4782700
The Lighthouse Shoppes					28.1551520	-82.7627580
					27.9364036	-82.2542532
					28.0343534	-81.7345113
					28.0327018	-81.7325393
					28.0305892	-81.7332936
Southeast Plaza					28.0027232	-81.7170883
Brickell City Centre	South Miami Avenue	Miami	FL		25.7673876	-80.1935673
Bellview Plaza	Mobile Highway	Pensacola	FL		30.4601298	-87.2983627
Camino Shops					26.3395358	-80.0865408
					28.0062770	-81.7294120
					28.0069355	-81.7283210
					28.1053760	-81.6186610
					28.1055080	-81.6170730
Ocooee Plaza					28.5730345	-81.5454430
					28.8064365	-81.6727115
					28.8101845	-81.6723245
					29.9814755	-81.6769310
					30.0066015	-81.6938275
					28.0136350	-81.9208480
					27.2077145	-81.8627920
					26.6678657	-81.8299227
					26.6662794	-81.8319507
					26.6594913	-81.8418310
					26.6616255	-81.8400618
					28.2549030	-82.1866970
					28.2543915	-82.1856905
North Parsons Plaza					27.9395160	-82.2862205
					27.5200480	-82.5595675
					29.0602995	-82.4531709
					29.0593250	-82.4563481
					28.0455821	-82.6781885
					29.2204122	-81.0496136
Crystal River Mall	US Highway 19	Crystal River	FL		28.9106267	-82.6031445
					27.4944410	-82.6015480
					27.4944702	-82.6002137
Bayou Plaza					30.5205465	-86.5005218
SoMo Walls					30.4309416	-84.2803206
					27.8915690	-82.7878539
Alpine Center					30.4013530	-86.8848338
Florida Keys Outlet Center					25.4525928	-80.4730960
	Tamiami Trail				26.1697177	-81.7953882
Sunset Place					25.7058143	-80.2864400
Vine Street Square					28.3061072	-81.4349338
					28.4484793	-81.3884495
					28.4489089	-81.3877807
Mizner Park					26.3542227	-80.0850906
Peachland Promenade	Peachland Boulevard	Port Charlotte	FL		27.0162098	-82.0552211
					27.0092860	-82.1343361
Heritage Plaza					27.0143258	-82.1455560
Murdock Carrousel	Tamiami Trail				27.0052759	-82.1292275
International Plaza and Bay Street					27.9647482	-82.5206762
Bayside Marketplace	Biscayne Boulevard				25.7781820	-80.1861990
